"","Temp","m","bias","LL","BIC","AIC","subID"
"tau[28]",7.76637469288804,0.111094734209857,0.305473025606956,-103.319342725383,221.630322272059,212.638685450766,59306
"tau[29]",7.75275989898897,0.138104249391453,0.328120811830224,-101.961510780621,218.873841426367,209.923021561242,59198
"tau[30]",7.84823614123472,0.493795453351877,0.0200831378791586,-96.238237173373,207.468111168038,198.476474346746,59353
"tau[31]",7.85169969674131,1.83176712835604,0.00262337234410596,-85.4520275016169,185.87535276357,176.904055003234,52788
"tau[32]",7.9461121973944,1.59451382091044,0.781975447928014,-70.0159333374046,155.023503496102,146.031866674809,57539
"tau[33]",7.99206994534018,1.38593017705742,0.000101043680494718,-63.2882432530911,141.422766177317,132.576486506182,58529
"tau[34]",7.78978243458468,0.123841514926872,0.388051443062653,-88.2670575156595,191.066676290695,182.534115031319,59287
"tau[35]",7.78474739133465,0.0472177152068813,0.448982447439633,-103.786719474878,222.565075771048,213.573438949756,58890
"tau[36]",7.77242451960864,0.059089804255717,0.582999805647864,-95.2379491947041,205.467535210701,196.475898389408,59310
"tau[37]",7.80700499791989,0.395320518522004,0.129791949622691,-88.2658699786023,191.523376778497,182.531739957205,59307
"tau[38]",7.71392057698405,2.06343073118582,0.000510324703866304,-83.8906617314764,182.772960284245,173.781323462953,59248
"tau[39]",7.91541599747753,1.7169666533422,0.0364494474385404,-78.1759828142401,171.343602449772,162.35196562848,59377
"tau[40]",7.82432315875339,0.321986420695092,0.394483185571131,-102.798629208345,220.588895237983,211.59725841669,59297
"tau[41]",8.05245380495883,1.37002529775722,0.00649993656155127,-67.2049732048306,149.401583230954,140.409946409661,60151
"tau[42]",7.79766725249254,0.130602260492161,0.306685152468383,-88.0061972781738,191.00403137764,182.012394556348,60146
"tau[43]",7.82061144682674,0.932140162771206,0.841658514422127,-87.1923137630484,189.314828753359,180.384627526097,57904
"tau[44]",7.81036940671616,0.277935205413015,0.18472784064483,-93.2262766573709,201.444190136034,192.452553314742,60116
"tau[45]",7.76782983976047,0.0399567900107465,0.467275521475387,-101.772854393183,218.475910013629,209.545708786367,58875
"tau[46]",7.9823150726705,0.942633682174726,0.00118362628552349,-85.8951459280257,186.781928677344,177.790291856051,59167
"tau[47]",7.85138133623299,0.608202187990945,0.0215463107854718,-92.0411843729602,199.074005567213,190.08236874592,54892
"tau[48]",7.78763462999753,0.0902546264282316,0.482208090368207,-99.7982757096099,214.526752646482,205.59655141922,59164
"tau[49]",7.78083438260669,0.129279265588064,0.255877959556748,-103.153335027718,221.298306876728,212.306670055436,60111
"tau[50]",7.80888653264226,0.305840198669454,0.328172530699229,-57.1019501001024,129.195537021497,120.203900200205,58976
"tau[51]",7.76473038698318,0.0690163872984896,0.437017991561693,-103.774085857031,222.539808535355,213.548171714062,58704
"tau[52]",7.78199541753496,0.152455426839251,0.349547344834534,-102.547369465611,220.086375752514,211.094738931221,59216
"tau[53]",7.80741472255749,0.202613201794246,0.162629581113773,-101.360773770099,217.71318436149,208.721547540198,59308
"tau[54]",7.84168559801816,0.63923858642204,0.0500594840485397,-90.6595540985823,196.290405957501,187.319108197165,55745
"tau[55]",7.81147430600265,0.217118404875255,0.190491182607772,-98.5007444463877,211.993125714068,203.001488892775,58633
"tau[56]",7.77509179786926,0.0748499467024358,0.43710808730566,-92.388329401451,199.425064570661,190.776658802902,59136
"tau[57]",7.78354211971535,0.130533185971336,0.295148183451555,-96.4319174213779,207.71011451389,198.863834842756,50764
"tau[58]",7.79571371396949,0.177047293440831,0.330756869249025,-89.9916333327621,194.562703878609,185.983266665524,59134
