"study","model","subID","subj_idx","n_trials","k_mean","k_max","n_good","n_ok","n_bad","n_verybad","pct_reliable","concern"
"S1","sym_lambda",59297,49,148,0.1795,2.7206,135,2,0,11,92.6,"HIGH"
"S1","sym_lambda",59298,50,146,0.0033,0.18,146,0,0,0,100,"NONE"
"S1","sym_lambda",59306,51,148,-0.0188,0.1709,148,0,0,0,100,"NONE"
"S1","sym_lambda",59307,52,148,0.0077,0.3551,148,0,0,0,100,"NONE"
"S1","sym_lambda",59308,53,148,-0.0305,0.1604,148,0,0,0,100,"NONE"
"S1","sym_lambda",59310,54,148,0.0596,0.2462,148,0,0,0,100,"NONE"
"S1","sym_lambda",59321,55,143,0.041,0.2587,143,0,0,0,100,"NONE"
"S1","sym_lambda",59353,56,148,0.0418,0.9502,143,4,1,0,99.3,"MODERATE"
"S1","sym_lambda",59377,57,148,-0.0056,0.1804,148,0,0,0,100,"NONE"
"S1","sym_lambda",60111,58,148,0.0092,0.2014,148,0,0,0,100,"NONE"
"S1","sym_lambda",60116,59,148,0.0117,0.3661,148,0,0,0,100,"NONE"
"S1","sym_lambda",60146,60,148,-0.0196,0.2561,148,0,0,0,100,"NONE"
"S1","sym_lambda",60151,61,148,0.0266,0.5513,147,1,0,0,100,"LOW"
