"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"21076","mcr[2519]",1.6833332885625,1.65230455,0.253292523843101,0.2365280736,1.32901247,2.16852594,1.00028707197352,3354.41926504666,5056.68744734247
"21077","mcr[2520]",3.4228531518375,3.38274725,0.731343002912077,0.67238823309,2.30052705,4.70177152,1.00088239559181,7563.09588097051,4159.20006692475
"21078","mcr[2521]",5.2000130549,5.28684495,1.00477486512072,0.97889532321,3.391132115,6.685187975,1.00033205586116,6230.09240025565,4386.22907056463
"21079","mcr[2522]",7.7923932469625,7.60209665,2.67206743932366,2.65309906008,3.69770451,12.4087239,1.00035626490305,5852.12776358863,4375.17966711478
"21080","mcr[2523]",7.8062748285375,7.5580992,2.70178680882407,2.54476962936,3.912093705,12.65224745,1.00067086441551,6614.54996643427,4326.79154247767
"21081","mcr[2524]",1.0124377678,0.974769,0.111596843456585,0.0321430645200001,0.9467978335,1.21853524,1.00059107795289,6276.56376206499,5398.37484658048
"21082","mcr[2525]",0.287624772784375,0.234911135,0.19756171673589,0.118357685229,0.103207729,0.64555107,1.0008123991235,7699.45763820385,5497.80322208092
"21083","mcr[2526]",2.11912881895,2.1340454,0.214944614725577,0.19189729167,1.74181728,2.452089745,1.00002611256186,2814.22165596184,4066.1549821731
"21084","mcr[2527]",2.2821222911375,2.31685715,0.246680232156148,0.22140251427,1.81864888,2.62717018,1.00001153406377,2807.95410065324,3846.76182135698
"21085","mcr[2528]",5.0151405641375,5.10322765,0.990345363427017,0.96540470103,3.218256785,6.467670165,1.00034697460661,6008.86163958246,4408.71237102979
"21086","mcr[2529]",7.3661266812875,7.38313235,1.6583832693905,1.59698992887,4.64143036,10.09785335,1.00127242409101,8619.25077783264,5875.09199419434
"21087","mcr[2530]",7.46589908405,7.5524952,2.06115046418259,2.16863052525,3.887820375,10.6929682,1.00035984081503,5408.8959520745,4330.09463920001
"21088","mcr[2531]",1.434215794225,1.41543965,0.159143674153698,0.14352509451,1.215807605,1.73070814,1.00018880242552,3134.65632426998,4894.25068841145
"21089","mcr[2532]",4.2620962212375,4.06487855,1.41088282553433,1.29102799077,2.41418604,6.89715008,1.0010193971069,8137.90845834412,5687.52284542041
"21090","mcr[2533]",2.9668736977875,3.06308225,0.358672711947573,0.31370592855,2.232088905,3.34465668,1.00032598362542,3656.52140249519,3680.50032438406
"21091","mcr[2534]",4.779043093925,4.9038118,0.879712237073853,0.84467258001,3.114193925,5.98697206,1.00036250937486,5383.97632416573,4280.68026668573
"21092","mcr[2535]",6.4429375214875,6.00311605,2.68820613417633,2.36504559564,3.047070795,11.49639585,1.00079478433928,7049.89572368644,4422.47006739116
"21093","mcr[2536]",7.68255378705,7.11640785,3.04648022885265,2.65436779503,3.780270175,13.59365285,1.00048264245149,8744.67823011273,5637.26625952926
"21094","mcr[2537]",6.402209456675,6.3908495,1.53146230667294,1.46079347442,3.933893625,8.966856605,1.00124803642575,8453.21272949262,5236.68403894535
"21095","mcr[2538]",5.5512416556625,5.36823765,1.75340217102157,1.63087808772,3.05500383,8.719105575,1.00069749776617,7014.06550357968,4210.43361927448
"21096","mcr[2539]",8.6468163622125,7.75782435,4.39209362786436,3.56103536817,3.48465432,16.7902404,1.00053427238407,6406.12341873042,4385.87726246479
"21097","mcr[2540]",3.9737699529,3.9107875,0.938503045332816,0.8575536312,2.532317715,5.61834505,1.00072865820592,7293.02770779828,4159.42772948588
"21098","mcr[2541]",1.773059307275,1.7225786,0.316586046578613,0.29161526268,1.3485359,2.40209501,1.00020192007608,3620.3533038429,5132.06913424737
"21099","mcr[2542]",2.6228655939,2.70044115,0.285586700241409,0.24166795128,2.03591824,2.92098588,1.00032569276339,3824.47550097896,3763.67072054227
"21100","mcr[2543]",1.835312634975,1.8726852,0.151401789842532,0.12046451172,1.533409605,1.99970233,1.00037105177859,3632.70618861358,3402.61020871944
"21101","mcr[2544]",2.902005408275,2.9954487,0.352920162006351,0.30524391492,2.17977071,3.27927989,1.00032119474506,3939.86745314513,3665.92609731198
"21102","mcr[2545]",4.756819356175,4.6003631,1.41164703313651,1.26647732085,2.76774985,7.32135163,1.00079653450243,7379.53433583186,4283.50118080816
"21103","mcr[2546]",1.6072539438,1.585732,0.201357925440078,0.1841707959,1.323232265,1.982270895,1.00011141030702,3108.04456699036,4854.32348310266
